Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Superstar (Taylor’s Version),0.157,0.454,263865,0.555,0,-6.69,0.0283,171.862,0.171
The Other Side Of The Door (Taylor’s Version),0.0279,0.432,238444,0.873,0,-4.367,0.0577,163.936,0.629
Today Was A Fairytale (Taylor’s Version),0.0135,0.482,241822,0.779,0,-5.025,0.0409,158.162,0.328
You All Over Me (feat. Maren Morris) (Taylor’s Version) (From The Vault),0.816,0.599,220839,0.494,0,-7.61,0.0372,142.893,0.44
Mr. Perfectly Fine (Taylor’s Version) (From The Vault),0.162,0.66,277592,0.817,0,-6.269,0.0521,135.942,0.714
We Were Happy (Taylor’s Version) (From The Vault),0.849,0.609,244237,0.373,0,-8.819,0.0263,106.007,0.13
That’s When (feat. Keith Urban) (Taylor’s Version) (From The Vault),0.225,0.588,189496,0.608,0,-7.062,0.0365,90.201,0.508
Don’t You (Taylor’s Version) (From The Vault),0.514,0.563,208609,0.473,1.2e-05,-11.548,0.0503,101.934,0.405
Bye Bye Baby (Taylor’s Version) (From The Vault),0.334,0.624,242158,0.624,0,-7.86,0.0539,80.132,0.527
willow,0.833,0.392,214707,0.574,0.00179,-9.195,0.17,81.112,0.529
champagne problems,0.92,0.462,244000,0.24,0,-12.077,0.0377,171.319,0.32
gold rush,0.83,0.512,185320,0.462,0.166,-10.491,0.0408,112.05,0.353
‘tis the damn season,0.735,0.575,229840,0.434,6.59e-05,-8.193,0.0312,145.916,0.348
tolerate it,0.878,0.316,245440,0.361,2.67e-05,-10.381,0.0488,74.952,0.221
"no body, no crime (feat. HAIM)",0.418,0.546,215627,0.613,0,-7.589,0.0264,79.015,0.535
happiness,0.87,0.559,315147,0.334,0,-10.733,0.0376,122.079,0.211
dorothea,0.696,0.605,225880,0.488,0,-8.322,0.0264,119.966,0.354
coney island (feat. The National),0.819,0.537,275320,0.537,0.000904,-11.266,0.0617,107.895,0.292
ivy,0.855,0.515,260440,0.545,1.97e-05,-9.277,0.0353,88.856,0.535
cowboy like me,0.768,0.604,275040,0.517,0.000155,-9.014,0.0347,127.967,0.511
long story short,0.66,0.546,215920,0.73,0.179,-7.704,0.0417,157.895,0.573
marjorie,0.876,0.535,257773,0.561,0.000136,-11.609,0.0484,96.103,0.287
closure,0.835,0.689,180653,0.704,4.83e-06,-10.813,0.245,151.884,0.92
evermore (feat. Bon Iver),0.937,0.39,304107,0.27,0.00227,-10.673,0.0308,125.177,0.32
right where you left me - bonus track,0.769,0.581,245027,0.619,0.000106,-6.524,0.0282,137.915,0.645
it’s time to go - bonus track,0.801,0.592,254640,0.41,1.39e-05,-12.426,0.0397,151.923,0.416
willow,0.833,0.392,214707,0.574,0.00179,-9.195,0.17,81.112,0.529
champagne problems,0.92,0.462,244000,0.24,0,-12.077,0.0377,171.319,0.32
gold rush,0.83,0.512,185320,0.462,0.166,-10.491,0.0408,112.05,0.353
‘tis the damn season,0.735,0.575,229840,0.434,6.59e-05,-8.193,0.0312,145.916,0.348
