Track Name,Acousticness,Danceability,Duration,Energy,Instrumentalness,Loudness,Speechiness,Tempo,Valence
Anything Goes,0.589,0.504,123973,0.6,0,-5.666,0.0787,154.623,0.763
Cheek To Cheek,0.838,0.569,170547,0.423,0,-8.453,0.0861,93.956,0.514
Don't Wait Too Long,0.824,0.299,156267,0.281,0.000173,-12.245,0.0305,89.904,0.353
I Can't Give You Anything But Love,0.563,0.505,193307,0.522,0.000168,-7.207,0.0454,126.362,0.546
Nature Boy,0.949,0.294,248427,0.253,0.00689,-11.134,0.028,92.385,0.289
Goody Goody,0.701,0.474,131827,0.671,0,-8.264,0.187,195.656,0.515
Ev'ry Time We Say Goodbye,0.963,0.401,190293,0.129,4.93e-06,-13.324,0.0324,87.503,0.187
Firefly,0.585,0.561,117640,0.565,0,-6.193,0.102,92.222,0.676
I Won't Dance,0.733,0.537,236720,0.496,1.8e-06,-6.75,0.0563,128.707,0.696
They All Laughed,0.783,0.649,108560,0.558,0,-6.947,0.0677,89.376,0.928
Lush Life,0.93,0.273,254693,0.169,0,-10.39,0.0361,81.268,0.115
Sophisticated Lady,0.975,0.452,229453,0.182,1.97e-05,-12.169,0.0346,135.839,0.219
Let's Face The Music And Dance,0.705,0.51,126760,0.638,1.38e-05,-6.769,0.056,121.075,0.747
But Beautiful,0.939,0.162,244080,0.18,0.00681,-12.224,0.0329,47.066,0.154
It Don't Mean A Thing (If It Ain't Got That Swing),0.816,0.544,143707,0.778,0.0174,-6.014,0.0619,117.193,0.875
Anything Goes,0.614,0.516,123840,0.62,0,-5.68,0.0804,152.214,0.749
Cheek To Cheek,0.818,0.589,170573,0.435,0,-8.443,0.0786,94.06,0.539
Nature Boy,0.946,0.294,248507,0.261,0.00955,-11.211,0.0301,135.362,0.288
I Can't Give You Anything But Love,0.571,0.564,193480,0.542,0.000299,-7.217,0.0376,62.252,0.541
I Won't Dance,0.709,0.569,236680,0.488,1.74e-06,-6.772,0.0477,127.744,0.656
Firefly,0.604,0.574,117573,0.566,0,-6.162,0.0976,92.186,0.661
Lush Life,0.933,0.281,254707,0.163,0,-10.529,0.0382,171.755,0.122
Sophisticated Lady,0.975,0.449,229453,0.184,2.24e-05,-12.156,0.0346,138.475,0.191
Let's Face The Music And Dance,0.702,0.515,126760,0.645,2.26e-05,-6.749,0.0518,120.828,0.676
But Beautiful,0.937,0.193,244040,0.185,0.00499,-12.256,0.0293,88.157,0.137
It Don't Mean A Thing (If It Ain't Got That Swing),0.83,0.546,143747,0.781,0.0139,-5.988,0.063,116.822,0.869
Aura,0.0252,0.71,235733,0.822,3.21e-06,-4.912,0.0631,129.967,0.353
Venus,0.0267,0.811,233720,0.895,0,-4.304,0.0608,121.01,0.736
G.U.Y.,0.0141,0.616,232667,0.919,0,-3.468,0.0401,110.008,0.572
Sexxx Dreams,0.0281,0.674,214640,0.715,0,-4.337,0.0493,113.942,0.381
Jewels N' Drugs,0.00313,0.737,228040,0.893,0,-4.151,0.0687,136.039,0.534
MANiCURE,0.00154,0.667,199787,0.912,1.17e-06,-3.218,0.044,138.084,0.867
ARTPOP,0.00106,0.747,247533,0.665,1.19e-05,-4.38,0.0573,117.035,0.432
Swine,0.0062,0.712,268600,0.861,3.42e-05,-3.625,0.136,127.89,0.209
Donatella,0.012,0.694,264960,0.814,0,-4.919,0.23,124.976,0.686
Fashion!,0.00286,0.606,239853,0.799,0,-4.737,0.0485,116.991,0.501
Mary Jane Holland,0.0156,0.48,277800,0.967,0,-4.586,0.235,101.997,0.206
Dope,0.667,0.339,221547,0.429,0,-6.497,0.0348,128.686,0.16
Gypsy,0.0124,0.564,248707,0.745,0,-4.333,0.0403,133.901,0.358
Applause,0.0265,0.669,212333,0.78,1.63e-06,-4.287,0.053,139.945,0.738
Marry The Night,0.000992,0.612,264520,0.877,0.00563,-4.43,0.064,131.068,0.38
Born This Way,0.00327,0.587,260253,0.828,0,-5.108,0.161,123.907,0.494
Government Hooker,0.000141,0.662,254267,0.797,0.0508,-6.735,0.0356,119.98,0.51
Judas,0.00108,0.664,249067,0.934,2.77e-05,-3.848,0.0697,130.982,0.53
Americano,0.000622,0.608,246533,0.848,3.93e-06,-5.086,0.0326,127.999,0.338
Hair,0.00116,0.57,307893,0.923,9.01e-06,-3.433,0.063,135.006,0.403
ScheiBe,0.0049,0.739,225467,0.97,1.06e-06,-4.885,0.118,131.003,0.519
Bloody Mary,0.0107,0.591,244760,0.637,1.95e-06,-6.365,0.03,99.998,0.432
Black Jesus + Amen Fashion,0.00841,0.695,216293,0.875,0.0222,-4.319,0.0567,120.043,0.353
Bad Kids,4.37e-05,0.676,230973,0.745,0.00151,-6.244,0.0294,120.03,0.426
Fashion Of His Love,0.000552,0.647,219107,0.947,0,-4.707,0.0483,123.061,0.355
Highway Unicorn (Road To Love),0.000315,0.559,255747,0.767,2.73e-05,-6.691,0.0355,127.973,0.276
Heavy Metal Lover,7.76e-05,0.6,252547,0.649,0.14,-8.384,0.0593,115.952,0.688
Electric Chapel,0.00135,0.676,252240,0.916,0.00142,-4.511,0.0394,128.024,0.8
The Queen,0.000154,0.368,316520,0.833,0.00651,-5.869,0.0464,143.982,0.482
You And I,0.0892,0.521,307360,0.701,0,-5.238,0.0458,127.087,0.518
The Edge Of Glory,0.000323,0.583,320547,0.768,0.0162,-6.477,0.041,127.952,0.357
Born This Way - The Country Road Version,0.0736,0.566,261480,0.594,0,-6.161,0.0301,123.945,0.496
Judas - DJ White Shadow Remix,0.00203,0.78,247480,0.473,0.422,-7.818,0.0385,130.998,0.213
Marry The Night - Zedd Remix,0.00379,0.632,260573,0.827,0.0043,-5.983,0.105,131.007,0.341
ScheiBe - DJ White Shadow Mugler,0.026,0.704,575240,0.803,2.48e-05,-6.719,0.0618,131.013,0.299
Fashion Of His Love - Fernando Garibay Remix,7.83e-05,0.607,224893,0.813,1.2e-05,-6.051,0.0539,122.988,0.526
Marry The Night,0.00104,0.614,264520,0.879,0.00438,-4.422,0.056,131.092,0.407
Born This Way,0.0037,0.586,260253,0.827,0,-5.102,0.15,123.905,0.508
Government Hooker,0.00019,0.672,254267,0.804,0.0603,-6.778,0.0365,119.979,0.496
Judas,0.000967,0.661,249067,0.937,1.59e-05,-3.83,0.0744,131.001,0.535
Americano,0.000638,0.608,246480,0.841,7.39e-06,-5.072,0.0328,127.985,0.331
Hair,0.000862,0.57,307893,0.925,1.08e-05,-3.452,0.0622,135.001,0.366
Scheiße,0.00488,0.728,225467,0.97,0,-4.883,0.101,131.054,0.539
Bloody Mary,0.0137,0.584,244760,0.638,2.68e-06,-6.437,0.0302,99.977,0.457
Bad Kids,3.73e-05,0.676,230947,0.748,0.00308,-6.209,0.0297,119.999,0.426
Highway Unicorn (Road To Love),0.000282,0.559,255747,0.766,2.53e-05,-6.691,0.0357,127.966,0.266
Heavy Metal Lover,8.17e-05,0.599,252560,0.643,0.19,-8.463,0.0595,115.978,0.701
Electric Chapel,0.00158,0.683,253227,0.917,0.00268,-4.516,0.0388,128.031,0.823
Yoü And I,0.075,0.518,307347,0.709,0,-5.234,0.0476,127.083,0.514
The Edge Of Glory,0.000343,0.581,320587,0.772,0.0191,-6.544,0.0401,127.952,0.361
Bad Romance,0.00314,0.696,294573,0.921,5.24e-05,-3.755,0.0363,119.001,0.714
Alejandro,0.000397,0.623,274213,0.793,0.0015,-6.63,0.0462,98.998,0.36
Monster,0.00124,0.694,249280,0.801,0,-4.503,0.0441,119.969,0.646
Speechless,0.441,0.298,270813,0.702,0,-4.181,0.0398,143.828,0.429
Dance In The Dark,2.96e-05,0.639,288960,0.751,4.9e-05,-6.357,0.0324,120.992,0.13
Telephone,0.00521,0.824,220640,0.836,0.000817,-5.903,0.0404,122.014,0.716
So Happy I Could Die,0.000318,0.557,234867,0.772,0.00234,-5.068,0.0304,99.967,0.324
Teeth,0.0327,0.708,220707,0.826,0,-5.164,0.0476,96.019,0.519
Just Dance,0.0264,0.822,241933,0.739,4.26e-05,-4.541,0.0311,118.992,0.745
LoveGame,0.00569,0.894,216333,0.678,2.43e-06,-5.611,0.0523,105.024,0.844
Paparazzi,0.113,0.762,208307,0.692,0,-3.973,0.0438,114.906,0.397
Poker Face,0.118,0.851,237200,0.806,1.64e-06,-4.62,0.0787,118.999,0.787
"Eh, Eh (Nothing Else I Can Say)",0.246,0.68,175360,0.876,0.000187,-3.646,0.0577,187.785,0.816
"Beautiful, Dirty, Rich",0.017,0.782,172413,0.906,0.0503,-5.229,0.152,120.064,0.697
The Fame,0.0296,0.816,222107,0.694,1.48e-05,-3.325,0.0504,127.021,0.966
Money Honey,0.0132,0.775,170293,0.756,0.000302,-3.231,0.0476,119.004,0.831
Starstruck,0.0208,0.876,217120,0.631,0,-5.939,0.143,102.992,0.509
Boys Boys Boys,0.0144,0.725,200813,0.662,0,-5.068,0.0404,122.989,0.814
Paper Gangsta,0.0502,0.752,263360,0.84,1.07e-06,-5.047,0.0786,98.969,0.574
Brown Eyes,0.126,0.747,243000,0.508,6.75e-06,-4.764,0.0314,125.072,0.595
I Like It Rough,0.121,0.719,202493,0.896,2.47e-05,-4.104,0.0413,120.008,0.8
Summerboy,0.00307,0.734,253947,0.77,0,-4.775,0.0324,104.999,0.686
Disco Heaven,0.0388,0.752,221480,0.946,0.000121,-3.398,0.0802,127.983,0.907
Just Dance,0.0264,0.822,241933,0.739,4.26e-05,-4.541,0.0311,118.992,0.745
LoveGame,0.00569,0.894,216333,0.678,2.43e-06,-5.611,0.0523,105.024,0.844
Paparazzi,0.113,0.762,208307,0.692,0,-3.973,0.0438,114.906,0.397
Poker Face,0.118,0.851,237200,0.806,1.64e-06,-4.62,0.0787,118.999,0.787
"Eh, Eh (Nothing Else I Can Say)",0.246,0.68,175360,0.876,0.000187,-3.646,0.0577,187.785,0.816
"Beautiful, Dirty, Rich",0.017,0.782,172413,0.906,0.0503,-5.229,0.152,120.064,0.697
The Fame,0.0296,0.816,222107,0.694,1.48e-05,-3.325,0.0504,127.021,0.966
Money Honey,0.0132,0.775,170293,0.756,0.000302,-3.231,0.0476,119.004,0.831
Starstruck,0.0208,0.876,217120,0.631,0,-5.939,0.143,102.992,0.509
Boys Boys Boys,0.0144,0.725,200813,0.662,0,-5.068,0.0404,122.989,0.814
Paper Gangsta,0.0502,0.752,263360,0.84,1.07e-06,-5.047,0.0786,98.969,0.574
Brown Eyes,0.126,0.747,243000,0.508,6.75e-06,-4.764,0.0314,125.072,0.595
I Like It Rough,0.121,0.719,202493,0.896,2.47e-05,-4.104,0.0413,120.008,0.8
Summerboy,0.00307,0.734,253947,0.77,0,-4.775,0.0324,104.999,0.686
Disco Heaven,0.0388,0.752,221480,0.946,0.000121,-3.398,0.0802,127.983,0.907
